City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Taoudenni,ML,2021-10-09 18:39:52,22.6783,-3.9836,97.0,8,97,5.91
141,Matara,LK,2021-10-09 18:39:53,5.9485,80.5353,79.18,86,100,9.78
142,Tabou,CI,2021-10-09 18:39:53,4.423,-7.3528,77.09,89,45,7.29
143,Tocache,PE,2021-10-09 18:39:54,-8.1842,-76.5125,93.24,41,94,1.1
144,Sao Filipe,CV,2021-10-09 18:36:58,14.8961,-24.4956,81.25,71,3,11.77
145,Praia,CV,2021-10-09 18:39:55,14.9215,-23.5087,88.34,55,20,10.36
146,Kamenka,RU,2021-10-09 18:39:55,51.3223,42.7678,42.98,61,58,5.68
147,Ancud,CL,2021-10-09 18:39:56,-41.8697,-73.8203,62.13,72,0,8.46
148,Doctor Juan Manuel Frutos,PY,2021-10-09 18:39:56,-25.3667,-55.8,68.99,97,100,2.51
149,Jurm,AF,2021-10-09 18:39:57,36.8648,70.8342,44.74,47,85,2.42
150,Necochea,AR,2021-10-09 18:39:57,-38.5473,-58.7368,61.93,56,0,11.86
151,Castro,BR,2021-10-09 18:39:58,-24.7911,-50.0119,56.8,98,100,6.8
152,San Cristobal,VE,2021-10-09 18:36:42,7.7669,-72.225,84.15,51,46,3.02
153,Wilmington,US,2021-10-09 18:39:58,34.2257,-77.9447,75.88,84,100,3.0
154,Kruisfontein,ZA,2021-10-09 18:36:55,-34.0033,24.7314,57.88,76,0,12.35
155,Lagoa,PT,2021-10-09 18:36:56,39.05,-27.9833,69.71,76,100,18.37
156,Ponta Delgada,PT,2021-10-09 18:39:59,37.7333,-25.6667,72.32,73,20,11.5
157,Bambous Virieux,MU,2021-10-09 18:39:59,-20.3428,57.7575,72.21,78,13,17.96
158,Upernavik,GL,2021-10-09 18:36:39,72.7868,-56.1549,29.91,52,100,9.82
159,Panaba,MX,2021-10-09 18:40:00,21.2833,-88.2667,92.64,50,63,10.94
160,Gonbad-E Qabus,IR,2021-10-09 18:40:01,37.25,55.1672,56.35,52,15,2.95
161,Tallahassee,US,2021-10-09 18:39:57,30.4383,-84.2807,84.67,68,40,1.01
162,Marsh Harbour,BS,2021-10-09 18:35:34,26.5412,-77.0636,82.69,66,97,4.32
163,Mombaca,BR,2021-10-09 18:40:02,-5.7431,-39.6275,97.05,26,100,7.31
